ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9537907,HX191497,03/19/2014 10:50:00 PM,105XX S WABASH AVE,031A,ROBBERY,ARMED: HANDGUN,ALLEY,false,false,0512,,9,49,03,,,2014,03/21/2014 12:39:35 AM,,,
9537859,HX191499,03/19/2014 10:45:00 PM,093XX S MAY ST,0337,ROBBERY,ATTEMPT: ARMED-OTHER DANG WEAP,SIDEWALK,false,false,2222,,21,73,03,,,2014,03/20/2014 12:38:50 AM,,,
9537885,HX191516,03/19/2014 10:45:00 PM,008XX N MASSASOIT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,1511,,29,25,08B,,,2014,03/21/2014 12:39:35 AM,,,
9537964,HX191515,03/19/2014 10:44:00 PM,054XX W IRVING PARK RD,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,1633,,38,15,15,,,2014,03/21/2014 12:39:35 AM,,,
9537879,HX191511,03/19/2014 10:40:00 PM,046XX S FRANCISCO AVE,1330,CRIMINAL TRESPASS,TO LAND,VACANT LOT/LAND,true,false,0922,,14,58,26,,,2014,03/21/2014 12:39:35 AM,,,
9537857,HX191490,03/19/2014 10:39:00 PM,049XX W MONROE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,1533,,28,25,14,,,2014,03/20/2014 12:38:50 AM,,,
9537887,HX191500,03/19/2014 10:30:00 PM,042XX S CHAMPLAIN AVE,0880,THEFT,PURSE-SNATCHING,SIDEWALK,false,false,0214,,4,38,06,,,2014,03/21/2014 12:39:35 AM,,,
9539056,HX192187,03/19/2014 10:30:00 PM,0000X W 103RD ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,HOTEL/MOTEL,false,false,0512,,34,49,02,,,2014,03/21/2014 12:39:35 AM,,,
9537948,HX191587,03/19/2014 10:30:00 PM,073XX S EXCHANGE AVE,0460,BATTERY,SIMPLE,NURSING HOME/RETIREMENT HOME,false,false,0334,,7,43,08B,,,2014,03/21/2014 12:39:35 AM,,,
9539465,HX192855,03/19/2014 10:30:00 PM,082XX S INGLESIDE AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0631,,8,44,05,,,2014,03/22/2014 12:39:11 AM,,,
9537914,HX191524,03/19/2014 10:30:00 PM,067XX S EAST END AVE,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,APARTMENT,false,true,0332,,5,43,04B,,,2014,03/21/2014 12:39:35 AM,,,
9537966,HX191589,03/19/2014 10:30:00 PM,016XX W 81ST ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,false,0614,,18,71,26,,,2014,03/21/2014 12:39:35 AM,,,
9537875,HX191506,03/19/2014 10:30:00 PM,003XX E 131ST PL,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,true,true,0533,,9,54,26,,,2014,03/21/2014 12:39:35 AM,,,
9537899,HX191536,03/19/2014 10:30:00 PM,049XX W CUYLER AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,false,1624,,45,15,26,,,2014,03/21/2014 12:39:35 AM,,,
9537825,HX191489,03/19/2014 10:26:00 PM,073XX S SEELEY AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,false,false,0735,,17,67,18,,,2014,03/20/2014 12:38:50 AM,,,
9537884,HX191507,03/19/2014 10:25:00 PM,016XX W 87TH ST,031B,ROBBERY,ARMED: OTHER FIREARM,ALLEY,false,false,2221,,21,71,03,,,2014,03/21/2014 12:39:35 AM,,,
9537843,HX191487,03/19/2014 10:25:00 PM,038XX W FULLERTON AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,STREET,false,false,2524,,30,22,11,,,2014,03/20/2014 12:38:50 AM,,,
9537941,HX191512,03/19/2014 10:25:00 PM,085XX S CONSTANCE AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET,false,false,0412,,8,45,14,,,2014,03/21/2014 12:39:35 AM,,,
9537848,HX191488,03/19/2014 10:20:00 PM,026XX W CULLERTON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1023,,28,30,14,,,2014,03/20/2014 12:38:50 AM,,,
9537937,HX191475,03/19/2014 10:16:00 PM,052XX W NORTH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,2532,,37,25,08B,,,2014,03/21/2014 12:39:35 AM,,,
9537881,HX191505,03/19/2014 10:15:00 PM,070XX S ELIZABETH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE,false,false,0734,,17,67,15,,,2014,03/21/2014 12:39:35 AM,,,
9537856,HX191495,03/19/2014 10:15:00 PM,048XX W WEST END AVE,2027,NARCOTICS,POSS: CRACK,APARTMENT,false,false,1532,,28,25,18,,,2014,03/20/2014 12:38:50 AM,,,
